fastq Crits-Christoph,GISAID accession,SHA512,Sample title Crits-Christoph,Collection date Crits-Christoph,fastq NGDC,Run accession NGDC,Sample name NGDC,Sample title NGDC,Collection date NGDC
V300052234_L01_7_1.fq,EPI_ISL_13052326,9890929c95a7933108578c500f441aa7f79b94e0257305617ee40fd091b4cf84714ca8cab5ea67326691a1fbeab0b5f2ddf539d3c3a856b5ddb678303913e65c,A2,2020-01-01,CRR710828_f1.fq,CRR710828,Env_0002,A2,2020-01-01
V300052234_L01_7_1.fq.gz,EPI_ISL_13052326,1f43fb53aca13f585ac7bf15ce2c298605f9f859545085c6bfefdd67c3a8ccd1e64789f4f71d7ade913728c80335dc0970660237d9d9e85d85d8516eac28079f,A2,2020-01-01,CRR710828_f1.fq.gz,CRR710828,Env_0002,A2,2020-01-01
V300052234_L01_7_2.fq.gz,EPI_ISL_13052326,48eb123ec37e2544fcea46b47758df82582ab544d8a4e27f2cbfeccb4c81dc2c1f92dc5a2457d36d3b4a0849f315d4f100dbaada5167ccb85d508f3cb36a1378,A2,2020-01-01,CRR710828_r2.fq.gz,CRR710828,Env_0002,A2,2020-01-01
V300052234_L01_8_1.fq.gz,EPI_ISL_13052331,4104ec41979e90603d4667eb990d162ff6bbe7e7c1bfa6616d844133efb39998e3e048c5a194334f13f297d0cdf70f8cf9cb0083024b2f3c7b7dfefd0219bf4a,A63,2020-01-01,CRR710848_f1.fq.gz,CRR710848,Env_0063,A63,2020-01-01
V300052234_L01_8_2.fq.gz,EPI_ISL_13052331,77406df469ea2533e876964c2a7f6dda892eb418e6743b7e585b745590d9a6887913bdcd41c38b9bb40af9a8a459de39104dd9409feb7eaaa1905c468d039d0f,A63,2020-01-01,CRR710848_r2.fq.gz,CRR710848,Env_0063,A63,2020-01-01
V300052234_L02_10_1.fq.gz,EPI_ISL_13052341,7331131d520e50cfefbb6049336ca68d0d5dd4e13f770fbaa9f99a1c992dcb0e2128f2cdf5dc859bc396d1b3cc2ec8dee498bf9b97bfd2403eb9ac38956e86e6,E7,2020-01-01,CRR710889_f1.fq.gz,CRR710889,Env_0221,E7,2020-01-01
V300052234_L02_10_2.fq.gz,EPI_ISL_13052341,8ad39bbe62f19a5b81e30aa03798958702b03ba14f384def34076c3340fcb8fca16b3462bbe1f3f8af9a7b101ec654cf87729aed5a747c0455dfb9332c3c4caa,E7,2020-01-01,CRR710889_r2.fq.gz,CRR710889,Env_0221,E7,2020-01-01
V300052234_L02_11_1.fq.gz,EPI_ISL_13052329,26a26e43b682c07e21760527c2429b19ef7ab1abf5618822f949a2a667717de7c37fa8bee39d416b5fea5440481a1589684b0ee6ef29e43f178430123d8d0b51,A55,2020-01-01,CRR710841_f1.fq.gz,CRR710841,Env_0055,A55,2020-01-01
V300052234_L02_11_2.fq.gz,EPI_ISL_13052329,c17cba6c86713552d9d55ab8ab70becd0603cbc8850da5564ee92baee05122a0faec1e830bad42533892b5dc61da37937ebbbcedac106ce7ce4e5ad465bae354,A55,2020-01-01,CRR710841_r2.fq.gz,CRR710841,Env_0055,A55,2020-01-01
V300052234_L02_12_1.fq.gz,EPI_ISL_13052328,942585a7ae551bd197ccd1bcdc40d9cb5c7c1c790b4163e0bd22844d7efc2cdc62335138d6bccc68fbf205e3288c97ee96a6695f4fa5eefa49b14ca163edb051,A33,2020-01-01,CRR710837_f1.fq.gz,CRR710837,Env_0033,A33,2020-01-01
V300052234_L02_12_2.fq.gz,EPI_ISL_13052328,45cb2b26f36d46e5bc45f5e06c8fbaa5bfd7c4883237b1d51f83899b85a382829e1ce40d6db18f6944ad670ed8986af68ca0cb3ce430863658a437e5b860d8c4,A33,2020-01-01,CRR710837_r2.fq.gz,CRR710837,Env_0033,A33,2020-01-01
V300052234_L02_1_1.fq.gz,EPI_ISL_13052338,887750a5ba1f9f0b779beefed452d362107be15585bd7d10b73344f5dfb71d37f06a25de2be9fa12b1feda6974b9883340e2fab12ea606957a26113729fd59d6,D32,2020-01-01,CRR710877_f1.fq.gz,CRR710877,Env_0213,D32,2020-01-01
V300052234_L02_1_2.fq.gz,EPI_ISL_13052338,5d9ef69f56255e4a0de73eaa27abcce50ca009a2ee8ea7daac596819559ed379ef8646294d229cd945247e037d04c783d8465225b57b42f96fff2e8aa2235eec,D32,2020-01-01,CRR710877_r2.fq.gz,CRR710877,Env_0213,D32,2020-01-01
V300052234_L02_22_1.fq.gz,EPI_ISL_13052343,361215a118fb2c795c61ac04257c8d35b461a9dda0079788e7d5b41c47804c2e4e9e1af71141ec54bc73192dfdecd6f0dd9ba225f8137085220d1e0b7117ceb1,F13,2020-01-01,CRR710897_f1.fq.gz,CRR710897,Env_0313,F13,2020-01-01
V300052234_L02_22_2.fq.gz,EPI_ISL_13052343,ced11eec343f5349c35512c560688024fc2e43100bbb200d1ad8509447ffc7aa48ba38b5390121b49ddb102d3fa6db4412595a7c88c9bcc03c0702d4de75bb7a,F13,2020-01-01,CRR710897_r2.fq.gz,CRR710897,Env_0313,F13,2020-01-01
V300052234_L02_25_1.fq.gz,EPI_ISL_13052346,d820643578609e8c2fa4b0f433e9d58ce15d44c56a0a8fe80cf331414306fe98f996fadb148d763012bc9ca349734b76cd336545c4a6588a0b5ef4f825831b49,F98,2020-01-01,CRR710909_f1.fq.gz,CRR710909,Env_0398,F98,2020-01-01
V300052234_L02_25_2.fq.gz,EPI_ISL_13052346,114cf007c758f261ed40a92179ff4499bd151157b9e53bde691ca1f7868b38313410892e3d9fa421b6d893dd1444dfa3152f1a592f7d74429176c4f16c3f5d23,F98,2020-01-01,CRR710909_r2.fq.gz,CRR710909,Env_0398,F98,2020-01-01
V300052234_L02_2_1.fq.gz,EPI_ISL_13052336,bf1a69241d96956eb4d3c44d5afd714c5d1bd0c5d37ed3c2764b1ec28f42df15dd2112b5114b748f91f239e08105d4ba6c632356a4f63c3e09a2b0090adee51d,B17,2020-01-01,CRR710869_f1.fq.gz,CRR710869,Env_0138,B17,2020-01-01
V300052234_L02_2_2.fq.gz,EPI_ISL_13052336,f7e4b3753df46f1c03a8660b6855e54601ef30fb7cf90cbd9e471e020abb0e5231d616f86d405f3620ddeed4edab4881df4a0661fbf8e47269b65ff5571e1468,B17,2020-01-01,CRR710869_r2.fq.gz,CRR710869,Env_0138,B17,2020-01-01
V300052234_L02_3_1.fq.gz,EPI_ISL_13052345,fabd05e460cbcc21a43deeac3d5d6eb8e107dbc66d2c2d3770f2f946964176d86cc218a583753ba559ccc5163f77dca46e5abf3fdd63e454903f1e9065de2f5e,F54,2020-01-01,CRR710905_f1.fq.gz,CRR710905,Env_0354,F54,2020-01-01
V300052234_L02_3_2.fq.gz,EPI_ISL_13052345,0984a2f5649e66a74799e8bcd5a8f2d1df47ea7b9a7ca1a189375bd9d7ada5cc92b5ecbde66b35ad65ff198c2e43f6e7d2ae4f99aab3e94b729c86f8e7136959,F54,2020-01-01,CRR710905_r2.fq.gz,CRR710905,Env_0354,F54,2020-01-01
V300052234_L02_4_1.fq.gz,EPI_ISL_13052330,cd099e846307dd0902f3b4b1923cf55d258c644ac8beb4fc9328698a21ce7438a1a4a639c609f4f3eb9e1ae5eccbaa60dcdcb19a8304f69dbda8bfddf62dc526,A61,2020-01-01,CRR710845_f1.fq.gz,CRR710845,Env_0061,A61,2020-01-01
V300052234_L02_4_2.fq.gz,EPI_ISL_13052330,48776e11915320155d449b116de344c26c58282231101dde51bdc0264901c3bace0a6ab88af1495e90a0efc29a07f0ee3b4e23060ecc0b2d076ffa8a99d79d50,A61,2020-01-01,CRR710845_r2.fq.gz,CRR710845,Env_0061,A61,2020-01-01
V300052234_L02_5_1.fq.gz,EPI_ISL_13052327,ac85a0919f8d46db0d17abbd431cb97fe26dfbe5dad3d46b00961c89fcecc3eaf38f9e27188ad9723954ebda56eea7c5ef68c053e753a83dbddadc2aab190c1a,A20,2020-01-01,CRR710833_f1.fq.gz,CRR710833,Env_0020,A20,2020-01-01
V300052234_L02_5_2.fq.gz,EPI_ISL_13052327,a14425239e9253ba6fbae684cfee0d2edfe616cdfa5054f3adf098c6c25e80f868414e6030e8b3a4e5ca79992d0c361bdfe121bd42622940377450c62320d49f,A20,2020-01-01,CRR710833_r2.fq.gz,CRR710833,Env_0020,A20,2020-01-01
V300052234_L02_6_1.fq.gz,EPI_ISL_13052325,d0f2994cbfe882d585c609aa29f2c7f2a5134eaa72b390f920324ee1c8f5c18f84905f9f5fcd5d14d4bb96263ae238ed8aedf4228bdeb1b2505320319d63a974,A18,2020-01-01,CRR710825_f1.fq.gz,CRR710825,Env_0018,A18,2020-01-01
V300052234_L02_6_2.fq.gz,EPI_ISL_13052325,7d7b6ab716b13f8593c4025577cb71c7952691a03fbff3db9de69e4147aee4dad5a30bfa1fa87455a78b4bd48cd31625855d1274a2a7cc284dcb8bc74f79bd2e,A18,2020-01-01,CRR710825_r2.fq.gz,CRR710825,Env_0018,A18,2020-01-01
V300052234_L02_7_1.fq.gz,EPI_ISL_13052326,9fd82d45c45eb4d5534b7db80291790e2db6bb5e0d7162e6e1a8cf1d7e09a02acaa1968ffabedc2d77bb2599b72bc11746a64161e748359d1c6007c278ed0856,A2,2020-01-01,CRR710829_f1.fq.gz,CRR710829,Env_0002,A2,2020-01-01
V300052234_L02_7_2.fq.gz,EPI_ISL_13052326,29a35dfbbf2f7328c0db96118f0f831c505a24a6fc1c4be269914338d4c08a7a050163b19839f803fe80bbb5a74cece4f6308061d51ad8782da9ef0a61fb89ee,A2,2020-01-01,CRR710829_r2.fq.gz,CRR710829,Env_0002,A2,2020-01-01
V300052234_L02_8_1.fq.gz,EPI_ISL_13052331,e2885976a6faf48623b3f296e57674b02be1eea0813e8502656c5af735b6239053d9977f0d117ec01cc4bc4c9b8056d6989889c5e99806bc59c389f9d9b72063,A63,2020-01-01,CRR710849_f1.fq.gz,CRR710849,Env_0063,A63,2020-01-01
V300052234_L02_8_2.fq.gz,EPI_ISL_13052331,a66cc99ffaa499b3cd21d7a92d68040e78ebd2ae14a351c1fda3b651b845353c6745f0177bf7828ac8703a96bbfe83532c83f7d7545cbdba1108a1dd60f00d06,A63,2020-01-01,CRR710849_r2.fq.gz,CRR710849,Env_0063,A63,2020-01-01
V300052234_L03_10_1.fq.gz,EPI_ISL_13052341,3f407696e3e268fab3d6298a95035a1f33b3272bfd7e6582841cb783983b04956d6a65695bfa8d9a8137ede96f40cb79f8a5b5042fb813805b9d31e7d25bfd78,E7,2020-01-01,CRR710890_f1.fq.gz,CRR710890,Env_0221,E7,2020-01-01
V300052234_L03_10_2.fq.gz,EPI_ISL_13052341,75d28f557d98abd15d807eee1b860a60d6f0ec42908a93e692c3dedcdd1e1a4af35d5719f1e68fc1cd9f385050ad999eb434fe3fe6c83935c899a89a7bd86726,E7,2020-01-01,CRR710890_r2.fq.gz,CRR710890,Env_0221,E7,2020-01-01
V300052234_L03_12_1.fq.gz,EPI_ISL_13052328,d61e0408f1e3205d08be0817d09ab9dda6402e1c7bef98a611c36c654c79e5af7c3e0c47fa0f8b639f3e6541318a3157be67ecf7ed3061dd592be67894f287d0,A33,2020-01-01,CRR710838_f1.fq.gz,CRR710838,Env_0033,A33,2020-01-01
V300052234_L03_12_2.fq.gz,EPI_ISL_13052328,6d72c0d9eb3759e70677a157bf634dbdbedfecaa669939a8367c87d10e04d94eb231d3a152eaf3b2d40d28be8e399683a0fea5c429ba0febe998ffcd91fac668,A33,2020-01-01,CRR710838_r2.fq.gz,CRR710838,Env_0033,A33,2020-01-01
V300052234_L03_1_1.fq.gz,EPI_ISL_13052338,8912fc4c55be277a5741cc1a2c3bcfc78359c349380e8d2f978780852d241675d24c6a62b1f092716b7462f4f2491b0bd6d679a3b0ebf3285e7737cdc0069a1e,D32,2020-01-01,CRR710878_f1.fq.gz,CRR710878,Env_0213,D32,2020-01-01
V300052234_L03_1_2.fq.gz,EPI_ISL_13052338,e65de1e847f4ecbef302730cebc317509fb214a9f83c55c5d41401d8afaa1fe1f6e3e0fb5eee8e2815a36874ba5b1bd35e8d5031d528b9ab4083b43945459360,D32,2020-01-01,CRR710878_r2.fq.gz,CRR710878,Env_0213,D32,2020-01-01
V300052234_L03_22_1.fq.gz,EPI_ISL_13052343,2624ed41f56464fb2d65e0b4d0c9f901fb658ef16df2facf37d425a954d332d835d4045d735688882eb07cf3e506278c9ffda921414ecdbe6b87a984b09e66a3,F13,2020-01-01,CRR710898_f1.fq.gz,CRR710898,Env_0313,F13,2020-01-01
V300052234_L03_22_2.fq.gz,EPI_ISL_13052343,3a6ae8ae4669485f8cc580df1129c46e3eb98836252cb9657475e65675c1e6462fa67e57976574e5dfcb69ca2866727902eaca1d9a9bb0e3138bb297a39a7892,F13,2020-01-01,CRR710898_r2.fq.gz,CRR710898,Env_0313,F13,2020-01-01
V300052234_L03_25_1.fq.gz,EPI_ISL_13052346,9884ab7323f5be016d27e0492c24a970b7a1ea699e8c6530c520dd9d609cb99f59cafe515f938b04328761ec681a01e045ba9ad40c81cc9db3307672b622caf2,F98,2020-01-01,CRR710910_f1.fq.gz,CRR710910,Env_0398,F98,2020-01-01
V300052234_L03_25_2.fq.gz,EPI_ISL_13052346,880a22ef95f64945c2d2e00350cf643a7a2f43fe2e8009c0ab3e9337c86bca3a21d598bacaa377e9cddee273f45fcbb5e9ca56cf04b1636212ff2341e17de3af,F98,2020-01-01,CRR710910_r2.fq.gz,CRR710910,Env_0398,F98,2020-01-01
V300052234_L03_2_1.fq.gz,EPI_ISL_13052336,4aae6923ce7f1d33cfe5978a89731aa23eb2bedc2614213de6b38a845f32b996394e33ce51fcdf6f7191e96fd3a85f190dfb001834242af040a5ca2ec90b6ae1,B17,2020-01-01,CRR710870_f1.fq.gz,CRR710870,Env_0138,B17,2020-01-01
V300052234_L03_2_2.fq.gz,EPI_ISL_13052336,c5430c72efdd00ddf7ed383f950104d88ec1c15b60fcad91b482b5a8150ee6f8f6b2dfeb3a84843c764d1ab7512ca2a250f63691eaa5e8b4f179a52976f00c7b,B17,2020-01-01,CRR710870_r2.fq.gz,CRR710870,Env_0138,B17,2020-01-01
V300052234_L03_3_1.fq.gz,EPI_ISL_13052345,6c67e2aa2756aeb810f53394f985d510b7ee84c925bef81107ef4331eb04df5e7ac86e15d5a2173a0d0f1488a481f5176f34e0be9adfd18e94ef66abeda3ab3a,F54,2020-01-01,CRR710906_f1.fq.gz,CRR710906,Env_0354,F54,2020-01-01
V300052234_L03_3_2.fq.gz,EPI_ISL_13052345,1edf25345cb586672fe68e3635ee806dce3c93cdad1637a62a9d01208c5cfb42d6a6c262a77be0b1fb0b1aa39fbbd9268106e12225efec9835212e1813c4c5a7,F54,2020-01-01,CRR710906_r2.fq.gz,CRR710906,Env_0354,F54,2020-01-01
V300052234_L03_4_1.fq.gz,EPI_ISL_13052330,0fafd7a7ce597f139a25157aa870558c9f55e0136e7fa2e50df2aca32f561615c635ff5a6bcc4e3182690712b38ec4e4bd78b3e000dbbcf60e12c9232b5b4e15,A61,2020-01-01,CRR710846_f1.fq.gz,CRR710846,Env_0061,A61,2020-01-01
V300052234_L03_4_2.fq.gz,EPI_ISL_13052330,23cce74c0086c16f8e9c7018513636f9cfb3c06049d560090d50c753fc2329b7963f664d57652d897b9697f6cdcdae241b106d71dfa9b501ced4aa5980fe9600,A61,2020-01-01,CRR710846_r2.fq.gz,CRR710846,Env_0061,A61,2020-01-01
V300052234_L03_5_1.fq.gz,EPI_ISL_13052327,c24f595ab0ad4a0a5ec47bc7776025906cfb1149477ebbcc7fb748fa7b9271654ebdb4d31cdd2cba1f8471ab97f71a566468b378889cdc1a1b40de6dd59d6617,A20,2020-01-01,CRR710834_f1.fq.gz,CRR710834,Env_0020,A20,2020-01-01
V300052234_L03_5_2.fq.gz,EPI_ISL_13052327,75a53870688fefe7806431fdec2b0cc2ecab619aee1fb981ca214f2db5d2fe4fd93130183a5f85e66c1aa4bd348ecf923f87c142a4c17fe12d2e15402b07046c,A20,2020-01-01,CRR710834_r2.fq.gz,CRR710834,Env_0020,A20,2020-01-01
V300052234_L03_6_1.fq.gz,EPI_ISL_13052325,b2c4b1045bf935e492b3b7044193e7b375ee16d2c1006ee282aac435d110e16729b69566644d0b8f8028fb5b66481a1708c1fb8b41d600561599241cc0c0dc48,A18,2020-01-01,CRR710826_f1.fq.gz,CRR710826,Env_0018,A18,2020-01-01
V300052234_L03_6_2.fq.gz,EPI_ISL_13052325,b00f06a4acfe7d8872e838a0ec19b1185b962acd43b68c626a6dafb4addd9c80ae69bf52b3f886058f68e04548b0b4d9333d7a1df7629f0a6a058946b0e6d50b,A18,2020-01-01,CRR710826_r2.fq.gz,CRR710826,Env_0018,A18,2020-01-01
V300052234_L03_7_1.fq.gz,EPI_ISL_13052326,77c2dc056c521e7bf73037f2826364177a4634520f24c8ad8f135410308194bce995aed3583af207a42994c43cdea7f6d7e892125e17f8bc0f845bb8ec2faac3,A2,2020-01-01,CRR710830_f1.fq.gz,CRR710830,Env_0002,A2,2020-01-01
V300052234_L03_7_2.fq.gz,EPI_ISL_13052326,24384aaa799907d8fb875d34fef0c12eeaefb604d4338f1e340b1e12e27a82d1ffe12f30f41a5f1d6f2f80ce868a773f364c55ac35ada07ffc03b671c8097b59,A2,2020-01-01,CRR710830_r2.fq.gz,CRR710830,Env_0002,A2,2020-01-01
V300052234_L03_8_1.fq.gz,EPI_ISL_13052331,ef78e221416e7dd2cedbf83191b359f566728f091ee40a56d90af78dadf9a4304ae2e766895cda8eb18da5c8d6b8617156c81cee9a95798a66be0e41124c9752,A63,2020-01-01,CRR710850_f1.fq.gz,CRR710850,Env_0063,A63,2020-01-01
V300052234_L03_8_2.fq.gz,EPI_ISL_13052331,dcff45421f07fc928c472b37bca91b908e2713400dadc0f2e172259e003476f44218f1d9ec2b5efdcac6e2e7b2fc5b02e183959cc51cde24eceef57a92605470,A63,2020-01-01,CRR710850_r2.fq.gz,CRR710850,Env_0063,A63,2020-01-01
V300052234_L04_10_1.fq.gz,EPI_ISL_13052341,0c73d368f25af807d03144912d8706e3a1f5d6c40d174b9605b0c8d142bdff79a47e47596c872b54a22e81b744266fff975af8ce8bf21db1d47e8147cccdb419,E7,2020-01-01,CRR710891_f1.fq.gz,CRR710891,Env_0221,E7,2020-01-01
V300052234_L04_10_2.fq.gz,EPI_ISL_13052341,ad3a5bfd68ca191810e963445121f5104e3e9f1710e147a3b2a179ef812228555bdc337c49cd3b7afb4978bbbfcf61e5235ec83664e3e58afb268f1a7ce215bc,E7,2020-01-01,CRR710891_r2.fq.gz,CRR710891,Env_0221,E7,2020-01-01
V300052234_L04_12_1.fq.gz,EPI_ISL_13052328,d8e75b67c7b6edcb7b2edcbb0547bd90b7af10ffb88d0d775bf7ca919e7316f5ebf1301ea8707cbdfca20f7ef6a0b1637791cabc47c484a550dad96c234d7d0d,A33,2020-01-01,CRR710839_f1.fq.gz,CRR710839,Env_0033,A33,2020-01-01
V300052234_L04_12_2.fq.gz,EPI_ISL_13052328,e4ee2b5e2fac4872d1e616e990883cafd459b6394362f4ac3eb30d4ad828e8176f022dd2dec38e7ddab929322a2db4c3d9d0f3848b1a59f65a770b14e93ac0ab,A33,2020-01-01,CRR710839_r2.fq.gz,CRR710839,Env_0033,A33,2020-01-01
V300052234_L04_1_1.fq.gz,EPI_ISL_13052338,d214cf3ba0d74cd472f8d84adb1d2d7927cc9d81b41b72ac85bcadb3e943c96afb5fc1e4fecec4be1e68d192db3876041b126f0a6383e0592fc97ddef1af176a,D32,2020-01-01,CRR710879_f1.fq.gz,CRR710879,Env_0213,D32,2020-01-01
V300052234_L04_1_2.fq.gz,EPI_ISL_13052338,cb119cf3476bc29bd46829356cac2909c2425493fbfd1a2546eb9b8ed2d06ed1d8fc970910300a7424462d9aefef072e9a593b8daba1de2460dd5b6ef20fcdce,D32,2020-01-01,CRR710879_r2.fq.gz,CRR710879,Env_0213,D32,2020-01-01
V300052234_L04_22_1.fq.gz,EPI_ISL_13052343,49b6c90703a237eb9c0ba1c6a8cd0e7e4681abd7a2b9fb39a876460fcdce7af1ac0014ebea0231e9c1802e04bf865a8ee6ea52b0fccc3ee73b6c01796c31b8c5,F13,2020-01-01,CRR710899_f1.fq.gz,CRR710899,Env_0313,F13,2020-01-01
V300052234_L04_22_2.fq.gz,EPI_ISL_13052343,4c686222777aa0636faa5f0b267b59ded5aec654eb7a487b9c9c37b4e884435b7e69835f390e96dd4be85dcc130403e437f399da0d94f6e9ca353facf71a694d,F13,2020-01-01,CRR710899_r2.fq.gz,CRR710899,Env_0313,F13,2020-01-01
V300052234_L04_25_1.fq.gz,EPI_ISL_13052346,ec7238b234a301f1799e3b5222cd7abcec438d02f845a3f8d2f0ac623cfba2742d03d52ac15236c7f3fe34e71d1b84426efbe15b0a951fdc308ca0cea236dcd2,F98,2020-01-01,CRR710911_f1.fq.gz,CRR710911,Env_0398,F98,2020-01-01
V300052234_L04_25_2.fq.gz,EPI_ISL_13052346,fc13e27c9ffd391d813479400ec3054c8a75ef32d9a449e7dabb8cb0acffb109cd30e5001a2e82a7850bcd5161ac85107c8a38993ff23499f424b782731d67b1,F98,2020-01-01,CRR710911_r2.fq.gz,CRR710911,Env_0398,F98,2020-01-01
V300052234_L04_2_1.fq.gz,EPI_ISL_13052336,265451459408acbd31d44b8eaa4b138d3e94aff41716d196d718efb9a1b44726b10b17704474f3d8844829b73d79db0f7b709184f2c85c428559b0a742a1a9f0,B17,2020-01-01,CRR710871_f1.fq.gz,CRR710871,Env_0138,B17,2020-01-01
V300052234_L04_2_2.fq.gz,EPI_ISL_13052336,9c9770b55e3c253bb642e8f11d6aad279c48793ba7ae989dc03026ab382c072751e20ae70e4d09b669cfbeb2795f528c622e5ce616684e7c41f97f01ed05e62c,B17,2020-01-01,CRR710871_r2.fq.gz,CRR710871,Env_0138,B17,2020-01-01
V300052234_L04_3_1.fq.gz,EPI_ISL_13052345,05e5a12559e4ce7e92b0fd3fd9283af400b6d0a89a685f8ac6abc9fd320e231eed44e1b35ce3d9d55490f6ca8772b1a7b9914ab0e62d2b6c6213f583200c3e8d,F54,2020-01-01,CRR710907_f1.fq.gz,CRR710907,Env_0354,F54,2020-01-01
V300052234_L04_3_2.fq.gz,EPI_ISL_13052345,63f25d27f370c64e242a89d0191c9c0a972ae62bc08b2cdb55b87d0febf7343edab5448b538b942fdb171fa3102768fd2fd12b643e838527b40aa2bdf608bee5,F54,2020-01-01,CRR710907_r2.fq.gz,CRR710907,Env_0354,F54,2020-01-01
V300052234_L04_4_1.fq.gz,EPI_ISL_13052330,7ba03aa573e2c97a4c9fb175b56fe3a156cb6fb353044fd70d54a40664681c625a156d9a3b8a767d4d723865cff4a00ad968d78838f3e74832082b15b4f0626a,A61,2020-01-01,CRR710847_f1.fq.gz,CRR710847,Env_0061,A61,2020-01-01
V300052234_L04_4_2.fq.gz,EPI_ISL_13052330,e594cd5425cb88cf13546ac4a36df2b9966de99e9e809ffa54c8891123d9ada84669401919a241cbec6cb0e2ca760b0886bdde46a5d5d409705e1d644cefd918,A61,2020-01-01,CRR710847_r2.fq.gz,CRR710847,Env_0061,A61,2020-01-01
V300052234_L04_5_1.fq.gz,EPI_ISL_13052327,bd681204079aa3d9cb06794f0a4335e5b09d9c0ab7363d42a663f2bd4625971b610ae6b870397a519b65500b84c5dc480921f69fa1c234ebe2563b5896afa5c6,A20,2020-01-01,CRR710835_f1.fq.gz,CRR710835,Env_0020,A20,2020-01-01
V300052234_L04_5_2.fq.gz,EPI_ISL_13052327,fd89e8017259d2438bb5065e1d09177f2830e299ffd3eb2618f82877d8044bd2e3da54b0af3f5c36b612a1c836acf74fdbaa632137a71ddc268d17a23980a63f,A20,2020-01-01,CRR710835_r2.fq.gz,CRR710835,Env_0020,A20,2020-01-01
V300052234_L04_6_1.fq.gz,EPI_ISL_13052325,c9c393022058628987d35540ad20689b14652a8b0fa88af2d818867162e3960dded4c892ab01d2c092b73c2722ef1d304ea1368eeec94d8264016dfe9519afb6,A18,2020-01-01,CRR710827_f1.fq.gz,CRR710827,Env_0018,A18,2020-01-01
V300052234_L04_6_2.fq.gz,EPI_ISL_13052325,0c3030a5d5e3006123334b20bdb3ca5dcbd136e567c799db58318eeb6711d058ab218e82bf8eb79b85261d7c956d66b50a4180aa7b938eb6a3512ed166d708b5,A18,2020-01-01,CRR710827_r2.fq.gz,CRR710827,Env_0018,A18,2020-01-01
V300052234_L04_7_1.fq.gz,EPI_ISL_13052326,caad789b461ef00774fe8e47b1ccd9e352b569934cf4fcbb4d6ca625567e763a56a75b3cd597aa1ae2c70720712f77497965e30e0985ecd588fa8ce36fc88a47,A2,2020-01-01,CRR710831_f1.fq.gz,CRR710831,Env_0002,A2,2020-01-01
V300052234_L04_7_2.fq.gz,EPI_ISL_13052326,1bc7df131c17fb6c8c808d50c63139bc98ce5353ec23e79dab73a921f51ae41d871aefcccc35829971c91674d0c654c178edc5d35e507e82b3be99f818012556,A2,2020-01-01,CRR710831_r2.fq.gz,CRR710831,Env_0002,A2,2020-01-01
V300052234_L04_8_1.fq.gz,EPI_ISL_13052331,bc544af1a4f58bcab31339b191c499a8365492efa39a56db9086efe75f61d05bd02557697502a9436a89d8a9b8cd5d623eea323a9095eb6296d89afd8cd99bad,A63,2020-01-01,CRR710851_f1.fq.gz,CRR710851,Env_0063,A63,2020-01-01
V300052234_L04_8_2.fq.gz,EPI_ISL_13052331,5da65e6e93e52fd1866c15df709b2f4c781d17aea967a4ae219f3f6f9233668e8870380450b728bf4b1a9a7159e14eda705d4177fe1220410c52fbaf0ea230d8,A63,2020-01-01,CRR710851_r2.fq.gz,CRR710851,Env_0063,A63,2020-01-01
